time,hip_angle,knee_angle,ankle_angle,hip_torque,knee_torque,ankle_torque
3.9320,-30.0000,124.4060,-39.6361,1.7453,-12.1157,-0.2871
3.9330,-30.0000,124.4090,-39.6360,1.7453,-12.1157,-0.2871
3.9340,-30.0000,124.4121,-39.6360,1.7453,-12.1157,-0.2871
3.9350,-30.0000,124.4151,-39.6360,1.7453,-12.1157,-0.2871
3.9360,-30.0000,124.4181,-39.6360,1.7453,-12.1157,-0.2871
3.9370,-30.0000,124.4211,-39.6360,1.7453,-12.1157,-0.2872
3.9380,-30.0000,124.4241,-39.6360,1.7453,-12.1157,-0.2872
3.9390,-30.0000,124.4271,-39.6359,1.7453,-12.1157,-0.2872
3.9400,-30.0000,124.4301,-39.6359,1.7453,-12.1157,-0.2872
3.9410,-30.0000,124.4331,-39.6359,1.7453,-12.1157,-0.2872
3.9420,-30.0000,124.4361,-39.6359,1.7453,-12.1157,-0.2872
3.9430,-30.0000,124.4390,-39.6359,1.7453,-12.1157,-0.2872
3.9440,-30.0000,124.4420,-39.6359,1.7453,-12.1157,-0.2872
3.9450,-30.0000,124.4449,-39.6359,1.7453,-12.1157,-0.2872
3.9460,-30.0000,124.4479,-39.6358,1.7453,-12.1157,-0.2873
3.9470,-30.0000,124.4508,-39.6358,1.7453,-12.1157,-0.2873
3.9480,-30.0000,124.4537,-39.6358,1.7453,-12.1157,-0.2873
3.9490,-30.0000,124.4566,-39.6358,1.7453,-12.1157,-0.2873
3.9500,-30.0000,124.4595,-39.6358,1.7453,-12.1157,-0.2873
3.9510,-30.0000,124.4624,-39.6358,1.7453,-12.1158,-0.2873
3.9520,-30.0000,124.4653,-39.6358,1.7453,-12.1158,-0.2873
3.9530,-30.0000,124.4682,-39.6357,1.7453,-12.1158,-0.2873
3.9540,-30.0000,124.4710,-39.6357,1.7453,-12.1158,-0.2873
3.9550,-30.0000,124.4739,-39.6357,1.7453,-12.1158,-0.2873
3.9560,-30.0000,124.4767,-39.6357,1.7453,-12.1158,-0.2873
3.9570,-30.0000,124.4796,-39.6357,1.7453,-12.1158,-0.2874
3.9580,-30.0000,124.4824,-39.6357,1.7453,-12.1158,-0.2874
3.9590,-30.0000,124.4852,-39.6357,1.7453,-12.1158,-0.2874
3.9600,-30.0000,124.4880,-39.6356,1.7453,-12.1158,-0.2874
3.9610,-30.0000,124.4909,-39.6356,1.7453,-12.1158,-0.2874
3.9620,-30.0000,124.4937,-39.6356,1.7453,-12.1158,-0.2874
3.9630,-30.0000,124.4964,-39.6356,1.7453,-12.1158,-0.2874
3.9640,-30.0000,124.4992,-39.6356,1.7453,-12.1158,-0.2874
3.9650,-30.0000,124.5020,-39.6356,1.7453,-12.1158,-0.2874
3.9660,-30.0000,124.5048,-39.6355,1.7453,-12.1158,-0.2874
3.9670,-30.0000,124.5075,-39.6355,1.7453,-12.1158,-0.2875
3.9680,-30.0000,124.5103,-39.6355,1.7453,-12.1158,-0.2875
3.9690,-30.0000,124.5130,-39.6355,1.7453,-12.1158,-0.2875
3.9700,-30.0000,124.5157,-39.6355,1.7453,-12.1158,-0.2875
3.9710,-30.0000,124.5185,-39.6355,1.7453,-12.1158,-0.2875
3.9720,-30.0000,124.5212,-39.6355,1.7453,-12.1158,-0.2875
3.9730,-30.0000,124.5239,-39.6354,1.7453,-12.1158,-0.2875
3.9740,-30.0000,124.5266,-39.6354,1.7453,-12.1158,-0.2875
3.9750,-30.0000,124.5293,-39.6354,1.7453,-12.1158,-0.2875
3.9760,-30.0000,124.5320,-39.6354,1.7453,-12.1159,-0.2875
3.9770,-30.0000,124.5346,-39.6354,1.7453,-12.1159,-0.2875
3.9780,-30.0000,124.5373,-39.6354,1.7453,-12.1159,-0.2876
3.9790,-30.0000,124.5400,-39.6354,1.7453,-12.1159,-0.2876
3.9800,-30.0000,124.5426,-39.6353,1.7453,-12.1159,-0.2876
3.9810,-30.0000,124.5453,-39.6353,1.7453,-12.1159,-0.2876
3.9820,-30.0000,124.5479,-39.6353,1.7453,-12.1159,-0.2876
3.9830,-30.0000,124.5505,-39.6353,1.7453,-12.1159,-0.2876
3.9840,-30.0000,124.5531,-39.6353,1.7453,-12.1159,-0.2876
3.9850,-30.0000,124.5558,-39.6353,1.7453,-12.1159,-0.2876
3.9860,-30.0000,124.5584,-39.6353,1.7453,-12.1159,-0.2876
3.9870,-30.0000,124.5610,-39.6352,1.7453,-12.1159,-0.2876
3.9880,-30.0000,124.5635,-39.6352,1.7453,-12.1159,-0.2877
3.9890,-30.0000,124.5661,-39.6352,1.7453,-12.1159,-0.2877
3.9900,-30.0000,124.5687,-39.6352,1.7453,-12.1159,-0.2877
3.9910,-30.0000,124.5713,-39.6352,1.7453,-12.1159,-0.2877
3.9920,-30.0000,124.5738,-39.6352,1.7453,-12.1159,-0.2877
3.9930,-30.0000,124.5764,-39.6352,1.7453,-12.1159,-0.2877
3.9940,-30.0000,124.5789,-39.6352,1.7453,-12.1159,-0.2877
3.9950,-30.0000,124.5814,-39.6351,1.7453,-12.1159,-0.2877
3.9960,-30.0000,124.5840,-39.6351,1.7453,-12.1159,-0.2877
3.9970,-30.0000,124.5865,-39.6351,1.7453,-12.1159,-0.2877
